grievance_text,severity,severity_level
buffering trouble not resolved yet bhai,Low,Low1
still connection gone kya ho raha hai,High,Low1
lag trouble pls fix since long time,Low,Low1
keeps dropping pls fix since long time,Low,Low1
still wifi down kya masla hai,High,High1
"please check, internet not working since morning bhai",High,High2
wifi down again since long time bhai,High,High2
wifi down again since long time kya masla hai,High,High2
data loss trouble again bhai,Low,High1
"delay in response, what is this?",Low,Low1
"internet gone, what is this? since long time bhai",High,Low1
still ping too high since long time kya ho raha hai,Low,Low1
packet loss happening since morning since long time kya ho raha hai,Low,Low1
still unstable connection since long time,Low,Low1
dns not resolving from last night since long time,Low,Low1
net GONE PLS FIX!!! kya masla hai,High,Low1
"SPEED IS LOW, WHAT IS THIS?!!!",Low,Low1
STILL NO CONNECTION!!!,High,High1
NET SLOW AGAIN!!! kya masla hai,Low,High1
"please check, data loss issue, what is this? kya ho raha hai",Low,Low1
having net not working continuously since long time yaar,High,High2
INTERNET GONE AGAIN!!!,High,High1
delay in response since morning since long time yaar,Low,Low2
internet gone bhai,High,Low1
internet not working from last night since long time bhai,High,High2
net too slow pls fix since long time yaar,Low,Low2
still ping too high bhai,Low,Low1
"please check, net gone pls fix bhai",High,Low1
unstable connection since long time kya ho raha hai,Low,Low1
still wifi not working yaar,High,High1
wifi down again since long time bhai,High,High2
"please check, no connection since morning yaar",High,High2
net gone again since long time,High,High1
STILL WIFI DOWN!!! bhai,High,High1
net gone again kya ho raha hai,High,High1
"please check, facing packet loss happening yaar",Low,Low1
"please check, unstable connection pls fix",Low,Low1
router problem,Low,Low1
DELAY IN RESPONSE PLS FIX!!! yaar,Low,Low1
having router not working continuously since long time,Low,High2
WIFI DOWN NOT RESOLVED YET!!!,High,High1
still packet loss happening,Low,Low1
"please check, wifi down kya ho raha hai",High,High1
"please check, buffering issue since morning yaar",Low,Low1
facing speed is low since long time,Low,Low1
facing disconnecting again and again since long time kya masla hai,Low,High1
"please check, buffering trouble kya masla hai",Low,Low1
"please check, unstable connection since morning",Low,Low1
"please check, facing speed is low",Low,Low1
no connection not resolved yet yaar,High,High1
KEEPS DROPPING NOT RESOLVED YET!!! bhai,Low,Low1
buffering issue,Low,Low1
"please check, wifi down from last night kya masla hai",High,High1
having cannot access sites continuously since long time kya ho raha hai,Low,High1
FACING DATA LOSS ISSUE!!! bhai,Low,Low1
connection gone not resolved yet since long time yaar,High,Low1
PACKET LOSS HAPPENING SINCE MORNING!!! yaar,Low,Low1
net not working not resolved yet bhai,High,High1
delay in response pls fix yaar,Low,Low1
wifi GONE FROM LAST NIGHT!!!,High,Low1
"please check, speed is low kya ho raha hai",Low,Low1
no connection since morning yaar,High,High2
connection gone from last night since long time,High,Low1
net very slow pls fix kya ho raha hai,Low,Low1
"wifi down, what is this? since long time bhai",High,High2
"please check, data loss problem since morning",Low,Low1
wifi not wrkng kya ho raha hai,High,Low1
facing no connection since long time bhai,High,High2
HAVING KEEPS DROPPING CONTINUOUSLY!!!,Low,High1
INTERNET NOT WORKING PLS FIX!!! kya ho raha hai,High,High1
unstable connection from last night since long time,Low,Low1
internet not working from last night since long time yaar,High,High2
internet gone again since long time kya ho raha hai,High,High1
"please check, wifi not wrkng, what is this? yaar",High,Low1
no connection again since long time bhai,High,High2
wifi down since morning,High,High2
net GONE AGAIN!!!,High,High1
still no connection since long time yaar,High,High2
connection not working from last night kya ho raha hai,High,High1
"keeps dropping, what is this? since long time",Low,Low1
"please check, facing ping too high",Low,Low1
WIFI DOWN PLS FIX!!! kya ho raha hai,High,High1
KEEPS DROPPING AGAIN!!!,Low,High1
facing dns not resolving yaar,Low,Low1
having unstable connection continuously since long time bhai,Low,High1
"please check, disconnecting again and again not resolved yet yaar",Low,High1
internet not functioning since morning,High,Low1
wifi down from last night since long time,High,High2
INTERNET VERY SLOW SINCE MORNING!!! yaar,Low,Low2
lag problem since morning since long time yaar,Low,Low1
"please check, still wifi down kya ho raha hai",High,High1
INTERNET NOT functioning AGAIN!!!,High,High1
"please check, dns not resolving pls fix bhai",Low,Low1
still buffering problem yaar,Low,Low1
wifi down pls fix,High,High1
"speed is low, what is this? yaar",Low,Low1
HAVING wifi VERY SLOW CONTINUOUSLY!!! bhai,Low,High1
speed is low since long time,Low,Low1
facing internet not running kya masla hai,High,Low1
still net gone,High,Low1
"CANNOT ACCESS SITES, WHAT IS THIS?!!! yaar",Low,Low1
"please check, no connection again",High,High1
intrnet not working again since long time bhai,High,High2
"please check, no connection yaar",High,High1
"data loss issue, what is this? bhai",Low,Low1
internet not running since morning,High,Low1
STILL NO CONNECTION!!! asap,High,High1
DATA LOSS trouble AGAIN!!! yaar,Low,High1
PACKET LOSS HAPPENING!!!,Low,Low1
no connection again bhai,High,High1
HAVING WIFI DOWN CONTINUOUSLY!!! bhai,High,High1
buffering issue from last night kya ho raha hai,Low,Low1
buffering issue not resolved yet,Low,Low1
speed is low since morning since long time yaar,Low,Low1
wifi down since long time kya masla hai,High,High2
having data loss problem continuously,Low,High1
net gone from last night since long time,High,Low1
having wifi gone continuously yaar,High,High1
INTERNET NOT running FROM LAST NIGHT!!! bhai,High,Low1
unstable connection since morning,Low,Low1
having disconnecting again and again continuously yaar,Low,High1
"router problem, what is this? since long time kya ho raha hai",Low,Low1
WIFI DOWN PLS FIX!!! bhai,High,High1
internet very too slow since long time,Low,Low2
SPEED IS LOW FROM LAST NIGHT!!! kya ho raha hai,Low,Low1
NO CONNECTION FROM LAST NIGHT!!!,High,High1
"please check, buffering trouble from last night yaar",Low,Low1
"please check, data loss trouble again yaar",Low,High1
keeps dropping again kya ho raha hai,Low,High1
net not working since morning,High,High2
having packet loss happening continuously bhai,Low,High1
"please check, router not functioning from last night yaar",Low,Low1
router not working since morning bhai,Low,High2
no connection not resolved yet kya ho raha hai,High,High1
"please check, unstable connection since morning bhai",Low,Low1
"please check, disconnecting again and again again kya masla hai",Low,High1
lag problem pls fix since long time kya ho raha hai,Low,Low1
no connection,High,High1
DISCONNECTING AGAIN AND AGAIN SINCE MORNING!!!,Low,High1
"CANNOT ACCESS SITES, WHAT IS THIS?!!! kya masla hai",Low,Low1
connection not working again since long time yaar,High,High2
DELAY IN RESPONSE FROM LAST NIGHT!!! bhai,Low,Low1
SPEED IS LOW FROM LAST NIGHT!!!,Low,Low1
wifi down again since long time,High,High2
still wifi down yaar,High,High1
"net VERY SLOW, WHAT IS THIS?!!! kya masla hai",Low,Low1
disconnecting again and again since morning kya ho raha hai,Low,High1
STILL DELAY IN RESPONSE!!! kya ho raha hai,Low,Low1
net gone again yaar,High,High1
no connection since long time yaar,High,High2
wifi not working again since long time yaar,High,High2
delay in response not resolved yet since long time,Low,Low2
"please check, connection not working, what is this? kya ho raha hai",High,High1
"please check, router problem not resolved yet",Low,Low1
internet not functioning since morning yaar,High,Low1
wifi NOT WORKING!!! kya ho raha hai,High,High1
internet not functioning again since long time,High,High1
PING TOO HIGH!!! bhai,Low,Low1
still internet not working since long time kya masla hai,High,High2
ping too high pls fix since long time kya ho raha hai,Low,Low1
WIFI DOWN NOT RESOLVED YET!!!,High,High1
still lag trouble since long time yaar,Low,Low1
"router not working, what is this? since long time bhai",Low,High2
"delay in response, what is this?",Low,Low1
"please check, buffering problem not resolved yet yaar",Low,Low1
facing unstable connection kya ho raha hai,Low,Low1
intrnet gone since morning,High,Low1
FACING NET SLOW!!! kya ho raha hai,Low,Low1
connection gone,High,Low1
data loss issue again,Low,High1
having router not functioning continuously since long time kya ho raha hai,Low,High1
"please check, internet very lagging kya ho raha hai",Low,Low1
"please check, no connection since morning kya ho raha hai",High,High2
KEEPS DROPPING AGAIN!!! bhai,Low,High1
internet gone from last night since long time,High,Low1
connection VERY SLOW PLS FIX!!! yaar,Low,Low1
disconnecting again and again from last night kya ho raha hai,Low,High1
"please check, speed is low bhai",Low,Low1
INTERNET NOT functioning PLS FIX!!! kya ho raha hai,High,Low1
speed is low since long time yaar,Low,Low1
unstable connection from last night since long time kya masla hai,Low,Low1
"please check, facing router problem yaar",Low,Low1
"please check, speed is low again yaar",Low,High1
CANNOT ACCESS SITES!!!,Low,Low1
delay in response from last night bhai,Low,Low1
WIFI DOWN SINCE MORNING!!! bhai,High,High3
"please check, net not working again yaar",High,High1
INTERNET VERY SLOW SINCE MORNING!!!,Low,Low2
wifi down since morning since long time yaar,High,High2
LAG ISSUE SINCE MORNING!!! bhai,Low,Low1
dns not resolving since morning since long time,Low,Low1
facing dns not resolving,Low,Low1
"please check, intrnet very lagging again kya ho raha hai",Low,High1
"please check, internet not working pls fix",High,High1
facing no connection since long time bhai,High,High2
"please check, facing keeps dropping yaar",Low,Low1
no connection pls fix since long time,High,High2
disconnecting again and again from last night since long time kya ho raha hai,Low,High1
having connection gone continuously,High,High1
"please check, keeps dropping, what is this? bhai",Low,Low1
connection gone pls fix,High,Low1
KEEPS DROPPING NOT RESOLVED YET!!! kya ho raha hai,Low,Low1
wifi down since morning since long time bhai,High,High2
"please check, internet gone again",High,High1
router problem since long time yaar,Low,Low1
BUFFERING trouble NOT RESOLVED YET!!! yaar,Low,Low1
FACING ROUTER PROBLEM!!! bhai,Low,Low1
"connection NOT WORKING, WHAT IS THIS?!!! kya ho raha hai",High,High1
wifi gone again since long time kya ho raha hai,High,High1
data loss problem since morning since long time,Low,Low1
facing speed is low since long time,Low,Low1
WIFI DOWN FROM LAST NIGHT!!! yaar,High,High1
"dns not resolving, what is this? yaar",Low,Low1
wifi down again since long time,High,High2
"please check, internet gone again bhai",High,High1
ROUTER NOT functioning PLS FIX!!! bhai,Low,Low1
"please check, no connection again",High,High1
wifi GONE AGAIN!!!,High,High1
"please check, internet gone pls fix",High,Low1
net not working since morning bhai,High,High2
still connection gone,High,Low1
"disconnecting again and again, what is this? since long time bhai",Low,High1
connection very slow again since long time,Low,High1
"delay in response, what is this? yaar",Low,Low1
having no connection continuously since long time bhai,High,High2
FACING WIFI DOWN!!!,High,High1
FACING DNS NOT RESOLVING!!!,Low,Low1
still packet loss happening since long time kya ho raha hai,Low,Low1
facing intrnet very slow since long time yaar,Low,Low2
"delay in response, what is this? yaar",Low,Low1
"please check, wifi down since morning bhai",High,High2
wifi gone again bhai,High,High1
"net NOT WORKING, WHAT IS THIS?!!! yaar",High,High1
net gone not resolved yet yaar,High,Low1
"please check, internet not working from last night bhai",High,High1
PACKET LOSS HAPPENING SINCE MORNING!!!,Low,Low1
"please check, delay in response, what is this? bhai",Low,Low1
internet very very slow not resolved yet,Low,Low1
keeps dropping not resolved yet kya ho raha hai,Low,Low1
wifi gone not resolved yet since long time yaar,High,Low1
"please check, unstable connection from last night yaar",Low,Low1
still dns not resolving bhai,Low,Low1
still internet very slow kya masla hai,Low,Low1
HAVING CANNOT ACCESS SITES CONTINUOUSLY!!! bhai,Low,High1
"please check, packet loss happening, what is this? kya ho raha hai",Low,Low1
"please check, still wifi down yaar",High,High1
"please check, wifi gone from last night bhai",High,Low1
"please check, wifi down pls fix kya masla hai",High,High1
"please check, internet gone pls fix yaar",High,Low1
"WIFI DOWN, WHAT IS THIS?!!! bhai",High,High1
"please check, still wifi gone kya ho raha hai",High,Low1
wifi down from last night since long time,High,High2
"please check, no connection, what is this? bhai",High,High1
"please check, still wifi down",High,High1
"net very slow, what is this? since long time kya ho raha hai",Low,Low2
BUFFERING trouble FROM LAST NIGHT!!! bhai,Low,Low1
buffering problem from last night since long time kya ho raha hai,Low,Low1
packet loss happening pls fix since long time kya ho raha hai,Low,Low1
ping too high from last night bhai,Low,Low1
"please check, facing speed is low kya ho raha hai",Low,Low1
"please check, internet not working since morning yaar",High,High2
"router problem, what is this?",Low,Low1
NO CONNECTION AGAIN!!!,High,High1
internet gone pls fix since long time kya masla hai,High,Low1
WIFI DOWN PLS FIX!!! bhai,High,High1
BUFFERING ISSUE PLS FIX!!! yaar,Low,Low1
unstable connection,Low,Low1
"please check, internet not functioning since morning",High,Low1
ping too high from last night since long time kya ho raha hai,Low,Low1
FACING DISCONNECTING AGAIN AND AGAIN!!! bhai,Low,High1
data loss issue,Low,Low1
WIFI DOWN!!! kya ho raha hai,High,High1
HAVING DELAY IN RESPONSE CONTINUOUSLY!!! bhai,Low,High1
SPEED IS LOW AGAIN!!! yaar,Low,High1
no connection since morning,High,High2
"dns not resolving, what is this? since long time bhai",Low,Low1
no connection pls fix since long time,High,High2
intrnet not working since morning since long time kya ho raha hai,High,High2
"please check, having router not working continuously kya ho raha hai",Low,High1
LAG problem SINCE MORNING!!! bhai,Low,Low1
"wifi down, what is this? kya ho raha hai",High,High1
internet very lagging pls fix since long time yaar,Low,Low1
unstable connection bhai,Low,Low1
"please check, net not working since morning",High,High2
unstable connection since morning since long time,Low,Low1
"please check, still disconnecting again and again",Low,High1
router not working since morning since long time kya ho raha hai,Low,High2
"please check, having net lagging continuously",Low,High1
"please check, facing disconnecting again and again kya ho raha hai",Low,High1
"please check, facing keeps dropping bhai",Low,Low1
NO CONNECTION!!!,High,High1
ROUTER PROBLEM AGAIN!!! kya ho raha hai,Low,High1
"net slow, what is this? since long time",Low,Low2
buffering issue since morning bhai,Low,Low1
"WIFI DOWN, WHAT IS THIS?!!! yaar",High,High1
"please check, ping too high not resolved yet",Low,Low1
net gone since long time yaar,High,Low1
buffering trouble since morning since long time bhai,Low,Low1
speed is low from last night since long time kya ho raha hai,Low,Low1
FACING NO CONNECTION!!! bhai,High,High1
"please check, still net slow bhai",Low,Low1
"please check, dns not resolving pls fix yaar",Low,Low1
having no connection continuously bhai,High,High1
facing no connection since long time kya ho raha hai,High,High2
having wifi down continuously bhai,High,High1
"WIFI DOWN, WHAT IS THIS?!!! yaar",High,High1
"please check, wifi gone from last night yaar",High,Low1
still internet gone since long time,High,Low1
FACING net GONE!!! bhai,High,Low1
no connection not resolved yet,High,High1
net lagging from last night since long time bhai,Low,Low1
"PACKET LOSS HAPPENING, WHAT IS THIS?!!! kya masla hai",Low,Low1
"WIFI DOWN, WHAT IS THIS?!!!",High,High1
dns not resolving again since long time yaar,Low,High1
FACING net GONE!!! bhai,High,Low1
wifi down again since long time kya ho raha hai,High,High2
still router not functioning since long time bhai,Low,Low1
no connection from last night kya masla hai,High,High1
"dns not resolving, what is this? bhai",Low,Low1
"please check, wifi very slow from last night",Low,Low1
internet very slow from last night since long time kya ho raha hai,Low,Low2
"ping too high, what is this? since long time",Low,Low1
NO CONNECTION NOT RESOLVED YET!!!,High,High1
NO CONNECTION FROM LAST NIGHT!!! bhai,High,High1
"delay in response, what is this? yaar",Low,Low1
NET very slow SINCE MORNING!!! bhai,Low,Low2
dns not resolving since morning since long time,Low,Low1
"internet gone, what is this? kya ho raha hai",High,Low1
dns not resolving since morning kya ho raha hai,Low,Low1
net too slow pls fix bhai,Low,Low1
dns not resolving pls fix since long time,Low,Low1
data loss trouble again yaar,Low,High1
"please check, packet loss happening, what is this? bhai",Low,Low1
"please check, speed is low pls fix",Low,Low1
HAVING WIFI DOWN CONTINUOUSLY!!!,High,High1
HAVING connection GONE CONTINUOUSLY!!! yaar,High,High1
"please check, internet gone, what is this? kya masla hai",High,Low1
"internet gone, what is this? kya ho raha hai",High,Low1
"please check, having net slow continuously kya masla hai",Low,High1
"wifi down, what is this? yaar",High,High1
DISCONNECTING AGAIN AND AGAIN SINCE MORNING!!! bhai,Low,High1
internet gone not resolved yet since long time bhai,High,Low1
internet not wrkng from last night since long time kya ho raha hai,High,Low1
still internet not running,High,Low1
DATA LOSS trouble NOT RESOLVED YET!!! yaar,Low,Low1
"please check, no connection",High,High1
speed is low kya ho raha hai,Low,Low1
"speed is low, what is this? since long time kya ho raha hai",Low,Low1
having data loss problem continuously yaar,Low,High1
"please check, wifi down since morning kya ho raha hai",High,High2
router not running pls fix since long time,Low,Low1
wifi down,High,High1
"delay in response, what is this? bhai",Low,Low1
FACING KEEPS DROPPING!!! bhai,Low,Low1
"packet loss happening, what is this? bhai",Low,Low1
having delay in response continuously,Low,High1
wifi down from last night bhai,High,High1
FACING net GONE!!!,High,Low1
"please check, cannot access sites, what is this?",Low,Low1
NET SLOW!!!,Low,Low1
internet gone from last night kya masla hai,High,Low1
DATA LOSS trouble SINCE MORNING!!!,Low,Low1
"WIFI DOWN, WHAT IS THIS?!!!",High,High1
"please check, having disconnecting again and again continuously",Low,High1
still wifi gone yaar,High,Low1
"please check, having dns not resolving continuously kya masla hai",Low,High1
internet gone since long time kya ho raha hai,High,Low1
"please check, net too slow from last night yaar",Low,Low1
HAVING UNSTABLE CONNECTION CONTINUOUSLY!!!,Low,High1
"please check, facing keeps dropping kya ho raha hai",Low,Low1
"please check, lag problem",Low,Low1
"please check, facing unstable connection kya ho raha hai",Low,Low1
"please check, wifi down from last night",High,High1
"please check, disconnecting again and again bhai",Low,High1
"please check, net gone pls fix",High,Low1
facing buffering problem since long time,Low,Low1
"please check, facing wifi down",High,High1
facing ping too high yaar,Low,Low1
still connection not working since long time,High,High2
"net slow, what is this? bhai",Low,Low1
INTERNET NOT running AGAIN!!! bhai,High,High1
FACING WIFI DOWN!!!,High,High1
facing net not working since long time bhai,High,High2
INTERNET VERY SLOW NOT RESOLVED YET!!! kya ho raha hai,Low,Low1
disconnecting again and again not resolved yet bhai,Low,High1
"please check, keeps dropping from last night kya masla hai",Low,Low1
"please check, packet loss happening since morning bhai",Low,Low1
"intrnet gone, what is this?",High,Low1
DELAY IN RESPONSE SINCE MORNING!!! kya ho raha hai,Low,Low2
buffering issue from last night yaar,Low,Low1
wifi down pls fix since long time yaar,High,High2
no connection since morning kya ho raha hai,High,High2
keeps dropping again since long time kya ho raha hai,Low,High1
"please check, router not running from last night",Low,Low1
"router not wrkng, what is this? since long time kya ho raha hai",Low,Low1
"please check, no connection, what is this? yaar",High,High1
"please check, router problem from last night",Low,Low1
"please check, net gone",High,Low1
"please check, having internet not working continuously bhai",High,High1
"cannot access sites, what is this? since long time kya masla hai",Low,Low1
"please check, facing ping too high kya masla hai",Low,Low1
still net lagging,Low,Low1
internet very slow again bhai,Low,High1
HAVING DNS NOT RESOLVING CONTINUOUSLY!!! yaar,Low,High1
DISCONNECTING AGAIN AND AGAIN FROM LAST NIGHT!!!,Low,High1
ROUTER PROBLEM PLS FIX!!! bhai,Low,Low1
"please check, having no connection continuously yaar",High,High1
wifi GONE PLS FIX!!! bhai,High,Low1
"please check, router problem kya ho raha hai",Low,Low1
no connection pls fix since long time bhai,High,High2
having internet very very slow continuously,Low,High1
no connection since morning yaar,High,High2
STILL UNSTABLE CONNECTION!!!,Low,Low1
WIFI DOWN PLS FIX!!!,High,High1
"please check, wifi down again kya ho raha hai",High,High1
"please check, lag trouble from last night bhai",Low,Low1
net very slow from last night yaar,Low,Low1
wifi GONE AGAIN!!! yaar,High,High1
router problem pls fix since long time kya ho raha hai,Low,Low1
facing keeps dropping bhai,Low,Low1
lag problem since morning since long time,Low,Low1
"please check, having intrnet gone continuously",High,High1
having internet gone continuously since long time kya ho raha hai,High,High1
DATA LOSS ISSUE SINCE MORNING!!!,Low,Low1
connection gone since long time,High,Low1
"please check, internet not working again yaar",High,High1
"please check, no connection since morning bhai",High,High2
wifi down from last night since long time kya ho raha hai,High,High2
CANNOT ACCESS SITES SINCE MORNING!!! bhai,Low,Low1
"KEEPS DROPPING, WHAT IS THIS?!!!",Low,Low1
having buffering issue continuously since long time bhai,Low,High1
"please check, having no connection continuously",High,High1
HAVING ROUTER PROBLEM CONTINUOUSLY!!!,Low,High1
no connection yaar,High,High1
having internet gone continuously yaar,High,High1
router not working from last night since long time,Low,High2
"data loss issue, what is this? since long time kya masla hai",Low,Low1
disconnecting again and again not resolved yet since long time bhai,Low,High1
"please check, data loss issue since morning yaar",Low,Low1
"please check, router problem, what is this?",Low,Low1
"please check, internet gone, what is this? yaar",High,Low1
UNSTABLE CONNECTION PLS FIX!!!,Low,Low1
having data loss problem continuously since long time bhai,Low,High1
facing cannot access sites since long time yaar,Low,Low1
FACING WIFI DOWN!!! yaar,High,High1
still keeps dropping since long time,Low,Low1
connection GONE FROM LAST NIGHT!!! bhai,High,Low1
facing wifi down since long time kya ho raha hai,High,High2
"please check, ping too high not resolved yet bhai",Low,Low1
facing lag trouble,Low,Low1
no connection,High,High1
no connection not resolved yet kya masla hai,High,High1
lag trouble not resolved yet since long time kya ho raha hai,Low,Low1
ROUTER NOT WORKING NOT RESOLVED YET!!! bhai,Low,High1
"net very slow, what is this? yaar",Low,Low1
router problem since morning since long time kya masla hai,Low,Low1
"please check, intrnet gone not resolved yet kya ho raha hai",High,Low1
"please check, facing net gone bhai",High,Low1
facing connection not working since long time bhai,High,High2
buffering issue from last night bhai,Low,Low1
data loss trouble from last night,Low,Low1
still dns not resolving since long time kya ho raha hai,Low,Low1
"please check, data loss issue, what is this?",Low,Low1
UNSTABLE CONNECTION!!!,Low,Low1
buffering problem since morning,Low,Low1
"PING TOO HIGH, WHAT IS THIS?!!! bhai",Low,Low1
"please check, having no connection continuously",High,High1
NO CONNECTION FROM LAST NIGHT!!! bhai,High,High1
DNS NOT RESOLVING FROM LAST NIGHT!!! kya ho raha hai,Low,Low1
"please check, router problem not resolved yet",Low,Low1
disconnecting again and again from last night since long time kya ho raha hai,Low,High1
HAVING INTERNET GONE CONTINUOUSLY!!!,High,High1
lag problem pls fix kya ho raha hai,Low,Low1
connection NOT WORKING NOT RESOLVED YET!!! yaar,High,High1
internet not wrkng since long time bhai,High,Low1
"WIFI DOWN, WHAT IS THIS?!!! kya ho raha hai",High,High1
delay in response since morning since long time,Low,Low2
having intrnet gone continuously yaar,High,High1
still no connection yaar,High,High1
wifi GONE!!! yaar,High,Low1
CANNOT ACCESS SITES AGAIN!!! kya masla hai,Low,High1
"connection NOT WORKING, WHAT IS THIS?!!! bhai",High,High1
STILL net GONE!!!,High,Low1
