grievance_text,severity
facing speed is low since long time,4
WIFI DOWN FROM LAST NIGHT!!! yaar,2
"dns not resolving, what is this? yaar",4
wifi down again since long time,2
"please check, internet gone again bhai",1
ROUTER NOT functioning PLS FIX!!! bhai,4
"please check, no connection again",1
wifi GONE AGAIN!!!,4
"please check, internet gone pls fix",1
net not working since morning bhai,2
still connection gone,4
"disconnecting again and again, what is this? since long time bhai",4
connection very slow again since long time,5
"delay in response, what is this? yaar",4
having no connection continuously since long time bhai,2
FACING WIFI DOWN!!!,2
FACING DNS NOT RESOLVING!!!,4
still packet loss happening since long time kya ho raha hai,4
facing intrnet very slow since long time yaar,5
"delay in response, what is this? yaar",4
"please check, wifi down since morning bhai",2
wifi gone again bhai,4
"net NOT WORKING, WHAT IS THIS?!!! yaar",2
net gone not resolved yet yaar,4
"please check, internet not working from last night bhai",1
PACKET LOSS HAPPENING SINCE MORNING!!!,4
"please check, delay in response, what is this? bhai",4
internet very very slow not resolved yet,5
keeps dropping not resolved yet kya ho raha hai,4
wifi gone not resolved yet since long time yaar,4
"please check, unstable connection from last night yaar",4
still dns not resolving bhai,4
still internet very slow kya masla hai,5
HAVING CANNOT ACCESS SITES CONTINUOUSLY!!! bhai,4
"please check, packet loss happening, what is this? kya ho raha hai",4
"please check, still wifi down yaar",1
"please check, wifi gone from last night bhai",4
"please check, wifi down pls fix kya masla hai",1
"please check, internet gone pls fix yaar",1
"WIFI DOWN, WHAT IS THIS?!!! bhai",2
"please check, still wifi gone kya ho raha hai",4
wifi down from last night since long time,2
"please check, no connection, what is this? bhai",1
"please check, still wifi down",1
"net very slow, what is this? since long time kya ho raha hai",5
BUFFERING trouble FROM LAST NIGHT!!! bhai,5
buffering problem from last night since long time kya ho raha hai,5
packet loss happening pls fix since long time kya ho raha hai,4
ping too high from last night bhai,4
"please check, facing speed is low kya ho raha hai",4
"please check, internet not working since morning yaar",2
"router problem, what is this?",4
NO CONNECTION AGAIN!!!,2
internet gone pls fix since long time kya masla hai,2
WIFI DOWN PLS FIX!!! bhai,2
BUFFERING ISSUE PLS FIX!!! yaar,5
unstable connection,4
"please check, internet not functioning since morning",4
ping too high from last night since long time kya ho raha hai,4
FACING DISCONNECTING AGAIN AND AGAIN!!! bhai,4
data loss issue,4
WIFI DOWN!!! kya ho raha hai,2
HAVING DELAY IN RESPONSE CONTINUOUSLY!!! bhai,4
SPEED IS LOW AGAIN!!! yaar,4
no connection since morning,2
"dns not resolving, what is this? since long time bhai",4
no connection pls fix since long time,2
intrnet not working since morning since long time kya ho raha hai,2
"please check, having router not working continuously kya ho raha hai",1
LAG problem SINCE MORNING!!! bhai,5
"wifi down, what is this? kya ho raha hai",1
internet very lagging pls fix since long time yaar,5
unstable connection bhai,4
"please check, net not working since morning",2
unstable connection since morning since long time,4
"please check, still disconnecting again and again",4
router not working since morning since long time kya ho raha hai,2
"please check, having net lagging continuously",5
"please check, facing disconnecting again and again kya ho raha hai",4
"please check, facing keeps dropping bhai",4
NO CONNECTION!!!,2
ROUTER PROBLEM AGAIN!!! kya ho raha hai,4
"net slow, what is this? since long time",5
buffering issue since morning bhai,5
"WIFI DOWN, WHAT IS THIS?!!! yaar",2
"please check, ping too high not resolved yet",4
net gone since long time yaar,4
buffering trouble since morning since long time bhai,5
speed is low from last night since long time kya ho raha hai,4
FACING NO CONNECTION!!! bhai,2
"please check, still net slow bhai",5
"please check, dns not resolving pls fix yaar",4
having no connection continuously bhai,1
facing no connection since long time kya ho raha hai,2
having wifi down continuously bhai,1
"WIFI DOWN, WHAT IS THIS?!!! yaar",2
"please check, wifi gone from last night yaar",4
still internet gone since long time,2
FACING net GONE!!! bhai,4
no connection not resolved yet,1
net lagging from last night since long time bhai,5
"PACKET LOSS HAPPENING, WHAT IS THIS?!!! kya masla hai",4
"WIFI DOWN, WHAT IS THIS?!!!",2
dns not resolving again since long time yaar,4
FACING net GONE!!! bhai,4
wifi down again since long time kya ho raha hai,2
still router not functioning since long time bhai,4
no connection from last night kya masla hai,1
"dns not resolving, what is this? bhai",4
"please check, wifi very slow from last night",5
internet very slow from last night since long time kya ho raha hai,5
"ping too high, what is this? since long time",4
NO CONNECTION NOT RESOLVED YET!!!,2
NO CONNECTION FROM LAST NIGHT!!! bhai,2
"delay in response, what is this? yaar",4
NET very slow SINCE MORNING!!! bhai,5
dns not resolving since morning since long time,4
"internet gone, what is this? kya ho raha hai",1
dns not resolving since morning kya ho raha hai,4
net too slow pls fix bhai,5
dns not resolving pls fix since long time,4
data loss trouble again yaar,4
"please check, packet loss happening, what is this? bhai",4
"please check, speed is low pls fix",4
HAVING WIFI DOWN CONTINUOUSLY!!!,2
HAVING connection GONE CONTINUOUSLY!!! yaar,4
"please check, internet gone, what is this? kya masla hai",1
"internet gone, what is this? kya ho raha hai",1
"please check, having net slow continuously kya masla hai",5
"wifi down, what is this? yaar",1
DISCONNECTING AGAIN AND AGAIN SINCE MORNING!!! bhai,4
internet gone not resolved yet since long time bhai,2
internet not wrkng from last night since long time kya ho raha hai,4
still internet not running,4
DATA LOSS trouble NOT RESOLVED YET!!! yaar,4
"please check, no connection",1
speed is low kya ho raha hai,4
"speed is low, what is this? since long time kya ho raha hai",4
having data loss problem continuously yaar,4
"please check, wifi down since morning kya ho raha hai",2
router not running pls fix since long time,4
wifi down,1
"delay in response, what is this? bhai",4
FACING KEEPS DROPPING!!! bhai,4
"packet loss happening, what is this? bhai",4
having delay in response continuously,4
wifi down from last night bhai,1
FACING net GONE!!!,4
"please check, cannot access sites, what is this?",4
NET SLOW!!!,5
internet gone from last night kya masla hai,1
DATA LOSS trouble SINCE MORNING!!!,4
"WIFI DOWN, WHAT IS THIS?!!!",2
"please check, having disconnecting again and again continuously",4
still wifi gone yaar,4
"please check, having dns not resolving continuously kya masla hai",4
internet gone since long time kya ho raha hai,2
"please check, net too slow from last night yaar",5
HAVING UNSTABLE CONNECTION CONTINUOUSLY!!!,4
"please check, facing keeps dropping kya ho raha hai",4
"please check, lag problem",5
"please check, facing unstable connection kya ho raha hai",4
"please check, wifi down from last night",1
"please check, disconnecting again and again bhai",4
"please check, net gone pls fix",4
facing buffering problem since long time,5
"please check, facing wifi down",1
facing ping too high yaar,4
still connection not working since long time,2
"net slow, what is this? bhai",5
INTERNET NOT running AGAIN!!! bhai,4
FACING WIFI DOWN!!!,2
facing net not working since long time bhai,2
INTERNET VERY SLOW NOT RESOLVED YET!!! kya ho raha hai,5
disconnecting again and again not resolved yet bhai,4
"please check, keeps dropping from last night kya masla hai",4
"please check, packet loss happening since morning bhai",4
"intrnet gone, what is this?",4
DELAY IN RESPONSE SINCE MORNING!!! kya ho raha hai,4
buffering issue from last night yaar,5
wifi down pls fix since long time yaar,2
no connection since morning kya ho raha hai,2
keeps dropping again since long time kya ho raha hai,4
"please check, router not running from last night",4
"router not wrkng, what is this? since long time kya ho raha hai",4
"please check, no connection, what is this? yaar",1
"please check, router problem from last night",4
"please check, net gone",4
"please check, having internet not working continuously bhai",1
"cannot access sites, what is this? since long time kya masla hai",4
"please check, facing ping too high kya masla hai",4
still net lagging,5
internet very slow again bhai,5
HAVING DNS NOT RESOLVING CONTINUOUSLY!!! yaar,4
DISCONNECTING AGAIN AND AGAIN FROM LAST NIGHT!!!,4
ROUTER PROBLEM PLS FIX!!! bhai,4
"please check, having no connection continuously yaar",1
wifi GONE PLS FIX!!! bhai,4
"please check, router problem kya ho raha hai",4
no connection pls fix since long time bhai,2
having internet very very slow continuously,5
no connection since morning yaar,2
STILL UNSTABLE CONNECTION!!!,4
WIFI DOWN PLS FIX!!!,2
"please check, wifi down again kya ho raha hai",1
"please check, lag trouble from last night bhai",5
net very slow from last night yaar,5
wifi GONE AGAIN!!! yaar,4
router problem pls fix since long time kya ho raha hai,4
facing keeps dropping bhai,4
lag problem since morning since long time,5
"please check, having intrnet gone continuously",4
having internet gone continuously since long time kya ho raha hai,2
DATA LOSS ISSUE SINCE MORNING!!!,4
connection gone since long time,4
"please check, internet not working again yaar",1
"please check, no connection since morning bhai",2
wifi down from last night since long time kya ho raha hai,2
CANNOT ACCESS SITES SINCE MORNING!!! bhai,4
"KEEPS DROPPING, WHAT IS THIS?!!!",4
having buffering issue continuously since long time bhai,5
"please check, having no connection continuously",1
HAVING ROUTER PROBLEM CONTINUOUSLY!!!,4
no connection yaar,1
having internet gone continuously yaar,1
router not working from last night since long time,2
"data loss issue, what is this? since long time kya masla hai",4
disconnecting again and again not resolved yet since long time bhai,4
"please check, data loss issue since morning yaar",4
"please check, router problem, what is this?",4
"please check, internet gone, what is this? yaar",1
UNSTABLE CONNECTION PLS FIX!!!,4
having data loss problem continuously since long time bhai,4
facing cannot access sites since long time yaar,4
FACING WIFI DOWN!!! yaar,2
still keeps dropping since long time,4
connection GONE FROM LAST NIGHT!!! bhai,4
facing wifi down since long time kya ho raha hai,2
"please check, ping too high not resolved yet bhai",4
facing lag trouble,5
no connection,1
no connection not resolved yet kya masla hai,1
lag trouble not resolved yet since long time kya ho raha hai,5
ROUTER NOT WORKING NOT RESOLVED YET!!! bhai,2
"net very slow, what is this? yaar",5
router problem since morning since long time kya masla hai,4
"please check, intrnet gone not resolved yet kya ho raha hai",4
"please check, facing net gone bhai",4
facing connection not working since long time bhai,2
buffering issue from last night bhai,5
data loss trouble from last night,4
still dns not resolving since long time kya ho raha hai,4
"please check, data loss issue, what is this?",4
UNSTABLE CONNECTION!!!,4
buffering problem since morning,5
"PING TOO HIGH, WHAT IS THIS?!!! bhai",4
"please check, having no connection continuously",1
NO CONNECTION FROM LAST NIGHT!!! bhai,2
DNS NOT RESOLVING FROM LAST NIGHT!!! kya ho raha hai,4
"please check, router problem not resolved yet",4
disconnecting again and again from last night since long time kya ho raha hai,4
HAVING INTERNET GONE CONTINUOUSLY!!!,2
lag problem pls fix kya ho raha hai,5
connection NOT WORKING NOT RESOLVED YET!!! yaar,2
internet not wrkng since long time bhai,4
"WIFI DOWN, WHAT IS THIS?!!! kya ho raha hai",2
delay in response since morning since long time,4
having intrnet gone continuously yaar,4
still no connection yaar,1
wifi GONE!!! yaar,4
CANNOT ACCESS SITES AGAIN!!! kya masla hai,4
"connection NOT WORKING, WHAT IS THIS?!!! bhai",2
STILL net GONE!!!,4
"please check, internet not running not resolved yet bhai",4
wifi down since morning,2
"please check, dns not resolving not resolved yet bhai",4
"please check, no connection not resolved yet yaar",1
FACING BUFFERING ISSUE!!!,5
router not working not resolved yet bhai,1
"please check, data loss problem again",4
"please check, no connection not resolved yet bhai",1
no connection again since long time kya ho raha hai,2
"please check, net not working pls fix yaar",1
facing internet gone since long time bhai,2
"WIFI DOWN, WHAT IS THIS?!!!",2
"please check, still ping too high bhai",4
DATA LOSS ISSUE!!!,4
no connection yaar,1
speed is low pls fix since long time,4
"please check, facing unstable connection kya ho raha hai",4
disconnecting again and again again,4
"please check, no connection from last night",1
wifi down not resolved yet kya ho raha hai,1
UNSTABLE CONNECTION SINCE MORNING!!! bhai,4
dns not resolving since morning since long time kya masla hai,4
"router not working, what is this? since long time kya ho raha hai",2
having speed is low continuously since long time kya ho raha hai,4
"disconnecting again and again, what is this? kya masla hai",4
facing router not working since long time kya ho raha hai,2
having net not working continuously since long time bhai,2
packet loss happening again,4
"net gone, what is this? bhai",4
internet very too slow from last night,5
net slow since morning kya ho raha hai,5
still internet not working kya masla hai,1
router problem pls fix since long time kya ho raha hai,4
"wifi gone, what is this? since long time",4
wifi gone pls fix since long time bhai,4
facing buffering trouble bhai,5
connection not working pls fix,1
"please check, lag trouble from last night bhai",5
NO CONNECTION SINCE MORNING!!!,3
still no connection since long time bhai,2
"please check, facing no connection",1
"wifi not working, what is this? since long time yaar",2
"dns not resolving, what is this?",4
internet not working pls fix since long time,2
"wifi down, what is this? since long time yaar",2
DELAY IN RESPONSE NOT RESOLVED YET!!!,4
dns not resolving again,4
"please check, facing net slow yaar",5
NET SLOW FROM LAST NIGHT!!! kya ho raha hai,5
"please check, delay in response",4
STILL DATA LOSS ISSUE!!!,4
speed is low from last night bhai,4
"router problem, what is this? bhai",4
"please check, net slow since morning",5
data loss problem again since long time,4
connection not working from last night since long time,2
still router problem since long time kya ho raha hai,4
"please check, still wifi down bhai",1
"please check, no connection bhai",1
internet gone again yaar,1
"lag issue, what is this? since long time kya ho raha hai",5
"please check, net not working from last night yaar",1
"please check, disconnecting again and again from last night bhai",4
"NET SLOW, WHAT IS THIS?!!!",5
connection gone yaar,4
delay in response since morning since long time bhai,4
"please check, net not working pls fix kya ho raha hai",1
"please check, no connection not resolved yet yaar",1
"unstable connection, what is this? kya ho raha hai",4
facing delay in response yaar,4
data loss problem since morning kya ho raha hai,4
router not functioning not resolved yet since long time bhai,4
still net very slow kya ho raha hai,5
packet loss happening pls fix since long time yaar,4
"BUFFERING ISSUE, WHAT IS THIS?!!! kya masla hai",5
"please check, unstable connection from last night bhai",4
"please check, buffering problem from last night",5
still no connection kya masla hai,1
"please check, having wifi not working continuously yaar",1
no connection not resolved yet,1
having router not working continuously since long time bhai,2
data loss issue,4
net too slow kya masla hai,5
"please check, still speed is low bhai",4
net too slow not resolved yet bhai,5
having net lagging continuously kya ho raha hai,5
keeps dropping pls fix bhai,4
unstable connection pls fix kya ho raha hai,4
still buffering problem yaar,5
data loss problem kya ho raha hai,4
NO CONNECTION!!!,2
delay in response since morning since long time,4
"please check, facing speed is low bhai",4
PACKET LOSS HAPPENING SINCE MORNING!!! bhai,4
still cannot access sites,4
still keeps dropping,4
UNSTABLE CONNECTION AGAIN!!!,4
unstable connection not resolved yet yaar,4
"data loss issue, what is this? since long time kya masla hai",4
"internet not working, what is this?",1
NO CONNECTION SINCE MORNING!!! bhai,3
"please check, packet loss happening kya masla hai",4
delay in response again since long time,4
"please check, facing disconnecting again and again kya masla hai",4
"please check, facing wifi down kya ho raha hai",1
connection gone again bhai,4
having keeps dropping continuously since long time,4
"please check, facing wifi gone yaar",4
"please check, wifi gone since morning kya masla hai",4
FACING WIFI DOWN!!! bhai,2
"please check, having delay in response continuously",4
facing ping too high kya ho raha hai,4
"please check, having data loss trouble continuously bhai",4
STILL DISCONNECTING AGAIN AND AGAIN!!! bhai,4
PACKET LOSS HAPPENING NOT RESOLVED YET!!!,4
"wifi down, what is this? since long time",2
speed is low pls fix since long time kya ho raha hai,4
wifi down again kya masla hai,1
BUFFERING ISSUE!!! yaar,5
wifi down pls fix since long time,2
"please check, having dns not resolving continuously kya ho raha hai",4
still router problem since long time,4
"please check, still wifi not working kya masla hai",1
"please check, still internet very slow bhai",5
UNSTABLE CONNECTION PLS FIX!!! yaar,4
NET SLOW PLS FIX!!!,5
ping too high since morning yaar,4
HAVING INTERNET NOT WORKING CONTINUOUSLY!!!,2
"please check, unstable connection again kya ho raha hai",4
"please check, facing net too slow bhai",5
"wifi GONE, WHAT IS THIS?!!! bhai",4
"net very slow, what is this? since long time",5
"please check, wifi down pls fix yaar",1
KEEPS DROPPING SINCE MORNING!!! bhai,4
buffering issue since morning kya masla hai,5
"please check, buffering issue",5
connection GONE!!! yaar,4
facing internet not working since long time yaar,2
DATA LOSS ISSUE!!! bhai,4
"wifi down, what is this? since long time kya ho raha hai",2
WIFI DOWN!!!,2
"wifi gone, what is this?",4
wifi down since morning since long time kya ho raha hai,2
