Location,Pincode,State,District,type
Keshogiri,500005,Telangana,Hyderabad,
Khairatabad,500004,Telangana,Hyderabad,
Khapra,500062,Telangana,Hyderabad,
Kingsway,500003,Telangana,Hyderabad,
Kishanbagh,500064,Telangana,Hyderabad,
Kismathpur,500030,Telangana,Hyderabad,
Kolthur,500015,Telangana,Hyderabad,
Korremal,501301,Telangana,Hyderabad,
Kulsumpura,500067,Telangana,Hyderabad,
Kushaiguda,500015,Telangana,Hyderabad,
Kutbullapur,500015,Telangana,Hyderabad,
Kyasaram,500062,Telangana,Hyderabad,
L B nagar,500074,Telangana,Hyderabad,
Lic Division,500063,Telangana,Hyderabad,
Lalgadi Malakpet,500015,Telangana,Hyderabad,
Lallaguda,500017,Telangana,Hyderabad,
Lallapet,500017,Telangana,Hyderabad,
Lunger House,500008,Telangana,Hyderabad,
Mg Road,500003,Telangana,Hyderabad,
Madhapur,500081,Telangana,Hyderabad,
Malakpet Colony,500036,Telangana,Hyderabad,
Mallapur,500076,Telangana,Hyderabad,
Mamidipalli,500005,Telangana,Hyderabad,
Mangalhat,500006,Telangana,Hyderabad,
Mansoorabad,500068,Telangana,Hyderabad,
Moazzampura,500001,Telangana,Hyderabad,
Moghalpura,500002,Telangana,Hyderabad,
Moosapet,500018,Telangana,Hyderabad,
Moulali,500040,Telangana,Hyderabad,
Mudchintanapalli,500015,Telangana,Hyderabad,
Murad Nagar,500028,Telangana,Hyderabad,
Musheerabad Dso,500020,Telangana,Hyderabad,
Musheerabad Ndso,500020,Telangana,Hyderabad,
Nallakunta,500044,Telangana,Hyderabad,
Nanakramguda,500008,Telangana,Hyderabad,
Napier Lines,500062,Telangana,Hyderabad,
Narayanguda,500029,Telangana,Hyderabad,
Nehrunagar,500026,Telangana,Hyderabad,
New Maruthi nagar,500060,Telangana,Hyderabad,
New Mla quarters,500063,Telangana,Hyderabad,
New Nallakunta,500044,Telangana,Hyderabad,
Ngri,500007,Telangana,Hyderabad,
Nimboliadda,500027,Telangana,Hyderabad,
Nutankal,500015,Telangana,Hyderabad,
Old Malakpet,500036,Telangana,Hyderabad,
Old Mla quarters,500029,Telangana,Hyderabad,
Osmania General hospital,500012,Telangana,Hyderabad,
Osmannagar,500036,Telangana,Hyderabad,
P & t colony,500060,Telangana,Hyderabad,
Padmaraonagar,500025,Telangana,Hyderabad,
Padmavathi Nagar,500004,Telangana,Hyderabad,
Pahadishareef,500005,Telangana,Hyderabad,
Parishram Bhawan,500004,Telangana,Hyderabad,
Pedalaxmapur,500015,Telangana,Hyderabad,
Peerzadiguda,500039,Telangana,Hyderabad,
Picket,500003,Telangana,Hyderabad,
Pragatinagar,500015,Telangana,Hyderabad,
Prakashamnagar,500016,Telangana,Hyderabad,
Pratapsingaram,501301,Telangana,Hyderabad,
Putlibowli,500095,Telangana,Hyderabad,
Quazipura,500065,Telangana,Hyderabad,
R.C.imarat,500069,Telangana,Hyderabad,
Rahmath Nagar,500045,Telangana,Hyderabad,
Rail Nilayam,500071,Telangana,Hyderabad,
Raj Bhawan,500041,Telangana,Hyderabad,
Rajbolaram,500016,Telangana,Hyderabad,
Rajendranagar,500030,Telangana,Hyderabad,
Ramakrishanapuram,500035,Telangana,Hyderabad,
Ramakrishna Mutt,500029,Telangana,Hyderabad,
Ramkoti,500095,Telangana,Hyderabad,
Rampallidiara,501301,Telangana,Hyderabad,
Rangareddy Dt courts,500074,Telangana,Hyderabad,
Ravalkol,500015,Telangana,Hyderabad,
Reinbazar,500023,Telangana,Hyderabad,
Rompalli,501301,Telangana,Hyderabad,
Sahifa,500024,Telangana,Hyderabad,
Saidabad,500059,Telangana,Hyderabad,
Saidabad Colony,500059,Telangana,Hyderabad,
Sainagar,500017,Telangana,Hyderabad,
Sakkubai Nagar,500008,Telangana,Hyderabad,
Sanath Nagar colony,500018,Telangana,Hyderabad,
Sanathnagar I e,500018,Telangana,Hyderabad,
Sanjeev Reddy nagar,500038,Telangana,Hyderabad,
Santoshnagar Colony,500059,Telangana,Hyderabad,
Saroornagar,500035,Telangana,Hyderabad,
Secunderabad,500003,Telangana,Hyderabad,
Seetharampet,500001,Telangana,Hyderabad,
Seminary,500013,Telangana,Hyderabad,
Shahalibanda,500065,Telangana,Hyderabad,
Shantinagar,500028,Telangana,Hyderabad,
Shivarampalli,500052,Telangana,Hyderabad,
Shyam Nagar,500004,Telangana,Hyderabad,
Sitaphalmandi,500061,Telangana,Hyderabad,
Snehapuri Colony,500076,Telangana,Hyderabad,
Somajiguda,500082,Telangana,Hyderabad,
South Banjara hills,500033,Telangana,Hyderabad,
Srinagar Colony,500073,Telangana,Hyderabad,
Srinivasapuram,500013,Telangana,Hyderabad,
Sripuram Colony,500036,Telangana,Hyderabad,
State Bank of hyderabad,500001,Telangana,Hyderabad,
State Bank of india,500095,Telangana,Hyderabad,
Stn Kachiguda,500027,Telangana,Hyderabad,
Sultanshahi,500065,Telangana,Hyderabad,
Suraram,500015,Telangana,Hyderabad,
Survey Of india,500039,Telangana,Hyderabad,
Svpnpa,500052,Telangana,Hyderabad,
Swarajyanagar,500018,Telangana,Hyderabad,
Tadbun,500064,Telangana,Hyderabad,
Tagarikanaka,500002,Telangana,Hyderabad,
Tarnaka,500007,Telangana,Hyderabad,
Thimmaipalli,501301,Telangana,Hyderabad,
Thumkunta,500015,Telangana,Hyderabad,
Toli Chowki,500008,Telangana,Hyderabad,
Turkapalliyadaram,500080,Telangana,Hyderabad,
Uppal,500039,Telangana,Hyderabad,
Uppuguda,500053,Telangana,Hyderabad,
Vaidehinagar,500070,Telangana,Hyderabad,
Vaishalinagar,500079,Telangana,Hyderabad,
Vanastalipuram,500070,Telangana,Hyderabad,
Vengal Rao nagar,500038,Telangana,Hyderabad,
Vidhan Sabha,500004,Telangana,Hyderabad,
Vidyanagar,500044,Telangana,Hyderabad,
Vijay Nagar colony,500057,Telangana,Hyderabad,
Vikarabad,501101,Telangana,Hyderabad,
Yadgarpalli,501301,Telangana,Hyderabad,
Yakutpura,500023,Telangana,Hyderabad,
Yousufguda,500045,Telangana,Hyderabad,
Zamistanpur,500020,Telangana,Hyderabad,
Zindatelismath,500013,Telangana,Hyderabad,
