grievance_text,predicted_probability,severity
speed is low pls fix since long time,1.92E-06,Low
please check facing disconnecting again and again bhai,2.09E-06,Low
net very slow from last night since long time bhai,2.01E-06,Low
please check having connection very slow continuously,2.42E-06,Low
facing lag trouble since long time bhai,1.95E-06,Low
please check internet not functioning pls fix kya ho raha hai,0.99999845,High
please check buffering issue from last night,2.01E-06,Low
please check keeps dropping from last night yaar,2.01E-06,Low
keeps dropping what is this since long time kya ho raha hai,1.91E-06,Low
please check having no connection continuously,0.99999845,High
facing buffering issue,1.98E-06,Low
ping too high since morning bhai,1.92E-06,Low
delay in response pls fix bhai,1.92E-06,Low
still delay in response yaar,1.97E-06,Low
ping too high since morning bhai,1.92E-06,Low
internet very slow yaar,2.39E-06,Low
having no connection continuously since long time kya ho raha hai,0.99999845,High
unstable connection pls fix kya ho raha hai,2.11E-06,Low
unstable connection since long time kya ho raha hai,1.99E-06,Low
please check data loss trouble not resolved yet,2.01E-06,Low
please check disconnecting again and again from last night,2.01E-06,Low
net lagging from last night yaar,2.44E-06,Low
still cannot access sites bhai,1.97E-06,Low
still no connection,0.99999857,High
keeps dropping not resolved yet since long time yaar,1.91E-06,Low
net slow since long time,2.04E-06,Low
still connection very slow,2.16E-06,Low
router problem pls fix bhai,1.91E-06,Low
buffering issue what is this bhai,1.91E-06,Low
dns not resolving since morning yaar,1.94E-06,Low
disconnecting again and again pls fix,1.90E-06,Low
router problem what is this since long time kya ho raha hai,1.91E-06,Low
delay in response since morning since long time bhai,1.92E-06,Low
net slow what is this bhai,2.03E-06,Low
buffering issue kya ho raha hai,1.91E-06,Low
facing net not working since long time kya ho raha hai,0.99999845,High
facing keeps dropping,1.98E-06,Low
router problem,1.93E-06,Low
unstable connection pls fix kya ho raha hai,2.11E-06,Low
unstable connection what is this,1.98E-06,Low
still keeps dropping kya ho raha hai,1.97E-06,Low
buffering issue since long time bhai,1.91E-06,Low
disconnecting again and again again since long time yaar,1.89E-06,Low
keeps dropping kya ho raha hai,1.91E-06,Low
please check lag issue what is this yaar,2.00E-06,Low
having internet very lagging continuously,2.64E-06,Low
keeps dropping since morning since long time,1.91E-06,Low
please check no connection since morning kya ho raha hai,0.99999845,High
having disconnecting again and again continuously since long time kya masla hai,1.95E-06,Low
wifi down from last night kya ho raha hai,0.99999857,High
no connection pls fix kya masla hai,0.99999857,High
still unstable connection kya ho raha hai,2.17E-06,Low
having lag problem continuously bhai,1.96E-06,Low
still keeps dropping,1.99E-06,Low
lag issue again since long time bhai,1.90E-06,Low
still buffering trouble bhai,1.98E-06,Low
facing net slow since long time,2.07E-06,Low
speed is low from last night since long time kya masla hai,1.93E-06,Low
internet not working since long time,0.99999857,High
still disconnecting again and again bhai,1.96E-06,Low
please check disconnecting again and again pls fix,2.01E-06,Low
speed is low from last night since long time bhai,1.92E-06,Low
still net slow,2.12E-06,Low
speed is low since long time,1.92E-06,Low
having net very slow continuously,2.02E-06,Low
internet very too slow pls fix bhai,2.23E-06,Low
disconnecting again and again pls fix since long time kya ho raha hai,1.90E-06,Low
keeps dropping from last night yaar,1.91E-06,Low
please check facing delay in response,2.08E-06,Low
please check packet loss happening again yaar,1.99E-06,Low
speed is low from last night,1.92E-06,Low
wifi not working from last night since long time kya ho raha hai,0.99999857,High
please check cannot access sites kya masla hai,2.01E-06,Low
keeps dropping kya ho raha hai,1.91E-06,Low
please check facing ping too high bhai,2.06E-06,Low
internet very lagging from last night since long time bhai,2.93E-06,Low
internet not working again bhai,0.99999857,High
packet loss happening pls fix yaar,1.91E-06,Low
net gone not resolved yet,0.99999857,High
net slow from last night since long time bhai,2.04E-06,Low
packet loss happening from last night since long time kya masla hai,1.92E-06,Low
speed is low not resolved yet kya ho raha hai,1.93E-06,Low
net too slow from last night bhai,2.01E-06,Low
please check wifi down since morning bhai,0.99999845,High
buffering trouble since long time yaar,1.90E-06,Low
facing packet loss happening since long time bhai,1.96E-06,Low
buffering problem pls fix since long time bhai,1.90E-06,Low
please check keeps dropping again,2.01E-06,Low
data loss issue pls fix,1.93E-06,Low
delay in response from last night since long time,1.92E-06,Low
net very slow,2.03E-06,Low
ping too high what is this since long time yaar,1.92E-06,Low
facing data loss trouble since long time kya ho raha hai,1.97E-06,Low
still keeps dropping bhai,1.98E-06,Low
please check data loss issue again yaar,1.99E-06,Low
please check cannot access sites since morning,2.01E-06,Low
please check facing router not running bhai,2.21E-06,Low
unstable connection from last night yaar,2.00E-06,Low
having unstable connection continuously since long time kya ho raha hai,2.04E-06,Low
please check disconnecting again and again not resolved yet kya ho raha hai,2.02E-06,Low
delay in response what is this since long time yaar,1.92E-06,Low
lag trouble since morning,1.91E-06,Low
facing router not working kya ho raha hai,2.08E-06,Low
disconnecting again and again not resolved yet,1.90E-06,Low
net not working not resolved yet,0.99999845,High
disconnecting again and again not resolved yet since long time,1.90E-06,Low
data loss issue pls fix kya masla hai,1.93E-06,Low
no connection,0.99999857,High
please check unstable connection pls fix kya ho raha hai,2.47E-06,Low
having lag issue continuously,1.97E-06,Low
keeps dropping again,1.92E-06,Low
router not running from last night kya ho raha hai,1.93E-06,Low
buffering issue kya ho raha hai,1.91E-06,Low
having packet loss happening continuously,1.97E-06,Low
facing unstable connection bhai,2.07E-06,Low
still internet not working kya ho raha hai,0.99999845,High
please check ping too high pls fix kya ho raha hai,2.00E-06,Low
please check facing buffering problem,2.08E-06,Low
having no connection continuously bhai,0.99999857,High
packet loss happening kya ho raha hai,1.91E-06,Low
internet not working pls fix,0.99999857,High
please check packet loss happening from last night bhai,2.00E-06,Low
lag issue not resolved yet kya ho raha hai,1.91E-06,Low
please check buffering issue bhai,2.01E-06,Low
please check packet loss happening again bhai,1.99E-06,Low
unstable connection yaar,2.03E-06,Low
still internet very slow since long time,2.36E-06,Low
please check no connection again bhai,0.99999845,High
having internet gone continuously since long time yaar,0.99999845,High
still unstable connection kya ho raha hai,2.17E-06,Low
please check still speed is low kya ho raha hai,2.11E-06,Low
data loss problem since morning yaar,1.93E-06,Low
buffering trouble pls fix bhai,1.91E-06,Low
net slow again since long time yaar,2.02E-06,Low
still ping too high bhai,1.97E-06,Low
cannot access sites again,1.92E-06,Low
please check speed is low not resolved yet bhai,2.03E-06,Low
still keeps dropping since long time kya ho raha hai,1.97E-06,Low
data loss issue since morning,1.93E-06,Low
speed is low since morning,1.92E-06,Low
please check cannot access sites again,2.00E-06,Low
no connection pls fix,0.99999857,High
keeps dropping not resolved yet,1.92E-06,Low
please check buffering issue what is this yaar,2.00E-06,Low
please check dns not resolving again,2.08E-06,Low
net not working what is this since long time,0.99999845,High
net slow yaar,2.08E-06,Low
facing connection gone kya ho raha hai,0.99999845,High
no connection,0.99999857,High
router problem from last night bhai,1.91E-06,Low
net not working again bhai,0.99999845,High
please check net slow what is this yaar,2.22E-06,Low
router problem since morning yaar,1.91E-06,Low
please check net not working kya ho raha hai,0.99999845,High
having unstable connection continuously since long time yaar,2.04E-06,Low
ping too high what is this since long time,1.92E-06,Low
net slow since long time kya ho raha hai,2.04E-06,Low
unstable connection pls fix bhai,2.05E-06,Low
disconnecting again and again since long time bhai,1.90E-06,Low
facing no connection bhai,0.99999857,High
keeps dropping pls fix bhai,1.91E-06,Low
router problem what is this since long time kya ho raha hai,1.91E-06,Low
router not working what is this yaar,1.96E-06,Low
facing connection gone since long time,0.99999845,High
lag issue since morning since long time yaar,1.90E-06,Low
keeps dropping what is this since long time,1.91E-06,Low
no connection what is this since long time kya masla hai,0.99999857,High
facing wifi gone yaar,0.99999857,High
please check router problem again kya masla hai,1.99E-06,Low
please check wifi gone since morning,0.99999845,High
please check no connection from last night,0.99999845,High
net lagging from last night,2.40E-06,Low
please check ping too high since morning yaar,2.00E-06,Low
packet loss happening pls fix since long time kya ho raha hai,1.92E-06,Low
net gone yaar,0.99999857,High
no connection again yaar,0.99999857,High
lag issue not resolved yet since long time,1.90E-06,Low
still unstable connection since long time,2.08E-06,Low
net gone not resolved yet kya masla hai,0.99999857,High
internet not working again kya ho raha hai,0.99999857,High
cannot access sites from last night kya ho raha hai,1.91E-06,Low
please check still wifi down yaar,0.99999845,High
please check packet loss happening from last night bhai,2.00E-06,Low
internet gone again kya masla hai,0.99999857,High
router not running since morning yaar,1.93E-06,Low
facing disconnecting again and again,1.95E-06,Low
internet very slow from last night since long time kya ho raha hai,2.34E-06,Low
keeps dropping since long time,1.91E-06,Low
net gone from last night since long time bhai,0.99999857,High
facing wifi down since long time,0.99999857,High
please check still ping too high kya ho raha hai,2.07E-06,Low
unstable connection from last night bhai,1.99E-06,Low
delay in response pls fix,1.92E-06,Low
please check disconnecting again and again not resolved yet yaar,2.01E-06,Low
please check cannot access sites since morning yaar,2.01E-06,Low
dns not resolving from last night since long time kya ho raha hai,1.95E-06,Low
still wifi down since long time bhai,0.99999857,High
net lagging since long time kya ho raha hai,2.38E-06,Low
net slow pls fix kya ho raha hai,2.11E-06,Low
router problem again since long time yaar,1.90E-06,Low
connection gone since morning kya ho raha hai,0.99999857,High
router problem since morning since long time bhai,1.90E-06,Low
buffering trouble since long time kya ho raha hai,1.91E-06,Low
router not working since morning since long time yaar,1.96E-06,Low
router not working pls fix yaar,2.00E-06,Low
please check internet not working what is this kya ho raha hai,0.99999845,High
facing no connection bhai,0.99999857,High
having speed is low continuously kya masla hai,1.97E-06,Low
facing net slow yaar,2.11E-06,Low
speed is low not resolved yet bhai,1.93E-06,Low
wifi down since morning kya masla hai,0.99999857,High
facing delay in response since long time yaar,1.95E-06,Low
please check cannot access sites not resolved yet kya ho raha hai,2.02E-06,Low
please check wifi down what is this kya ho raha hai,0.99999845,High
internet very slow since morning since long time,2.32E-06,Low
unstable connection again yaar,1.99E-06,Low
disconnecting again and again what is this,1.90E-06,Low
delay in response again bhai,1.92E-06,Low
please check still router problem kya ho raha hai,2.06E-06,Low
unstable connection not resolved yet bhai,2.01E-06,Low
router problem since long time kya ho raha hai,1.90E-06,Low
delay in response again,1.92E-06,Low
still unstable connection yaar,2.13E-06,Low
wifi gone since morning kya ho raha hai,0.99999857,High
delay in response what is this kya masla hai,1.92E-06,Low
please check no connection since morning kya ho raha hai,0.99999845,High
please check no connection bhai,0.99999845,High
unstable connection kya ho raha hai,2.06E-06,Low
router not working pls fix,1.99E-06,Low
still lag issue bhai,1.98E-06,Low
please check speed is low pls fix kya ho raha hai,2.03E-06,Low
buffering issue again bhai,1.92E-06,Low
facing wifi down,0.99999857,High
packet loss happening not resolved yet bhai,1.92E-06,Low
please check net too slow kya masla hai,2.14E-06,Low
having buffering trouble continuously,1.97E-06,Low
internet not functioning,0.99999857,High
facing disconnecting again and again since long time kya ho raha hai,1.95E-06,Low
disconnecting again and again from last night bhai,1.90E-06,Low
please check still wifi down,0.99999845,High
internet very slow again kya ho raha hai,2.34E-06,Low
please check unstable connection not resolved yet bhai,2.31E-06,Low
speed is low,1.94E-06,Low
please check keeps dropping again bhai,2.00E-06,Low
please check speed is low again yaar,2.01E-06,Low
disconnecting again and again not resolved yet,1.90E-06,Low
please check delay in response since morning kya ho raha hai,2.01E-06,Low
having net slow continuously since long time,2.05E-06,Low
having router not working continuously,2.04E-06,Low
data loss problem not resolved yet bhai,1.93E-06,Low
no connection pls fix,0.99999857,High
please check wifi down what is this kya ho raha hai,0.99999845,High
net very slow again kya masla hai,2.00E-06,Low
wifi down bhai,0.99999857,High
please check buffering issue what is this,2.00E-06,Low
wifi down what is this since long time yaar,0.99999857,High
please check having net lagging continuously yaar,2.76E-06,Low
delay in response not resolved yet yaar,1.92E-06,Low
please check still cannot access sites kya ho raha hai,2.09E-06,Low
please check net gone again kya ho raha hai,0.99999845,High
speed is low since morning,1.92E-06,Low
buffering trouble pls fix,1.92E-06,Low
net very slow pls fix,2.01E-06,Low
please check router problem pls fix,2.00E-06,Low
packet loss happening not resolved yet since long time bhai,1.92E-06,Low
data loss issue from last night yaar,1.93E-06,Low
having router not running continuously,2.00E-06,Low
please check ping too high bhai,2.00E-06,Low
unstable connection from last night bhai,1.99E-06,Low
having wifi down continuously yaar,0.99999857,High
buffering trouble since morning since long time,1.90E-06,Low
having wifi down continuously,0.99999857,High
having internet not working continuously kya ho raha hai,0.99999845,High
wifi very slow from last night yaar,3.06E-06,Low
facing connection gone since long time bhai,0.99999845,High
net gone bhai,0.99999857,High
buffering issue what is this,1.91E-06,Low
please check disconnecting again and again since morning kya ho raha hai,2.01E-06,Low
speed is low not resolved yet since long time,1.92E-06,Low
please check still keeps dropping bhai,2.09E-06,Low
please check still net slow bhai,2.38E-06,Low
no connection yaar,0.99999857,High
wifi down from last night since long time yaar,0.99999857,High
wifi down from last night yaar,0.99999857,High
please check unstable connection from last night bhai,2.26E-06,Low
no connection not resolved yet yaar,0.99999857,High
delay in response what is this,1.92E-06,Low
delay in response again bhai,1.92E-06,Low
having keeps dropping continuously,1.97E-06,Low
having packet loss happening continuously since long time,1.96E-06,Low
please check still ping too high,2.06E-06,Low
still disconnecting again and again since long time,1.96E-06,Low
please check having router problem continuously,2.05E-06,Low
disconnecting again and again pls fix kya ho raha hai,1.90E-06,Low
packet loss happening again yaar,1.91E-06,Low
wifi down not resolved yet,0.99999857,High
please check internet not working pls fix yaar,0.99999845,High
wifi down what is this since long time,0.99999857,High
buffering problem from last night kya ho raha hai,1.91E-06,Low
please check having disconnecting again and again continuously,2.08E-06,Low
keeps dropping pls fix since long time bhai,1.91E-06,Low
still delay in response kya ho raha hai,1.97E-06,Low
lag issue pls fix kya ho raha hai,1.90E-06,Low
having data loss problem continuously since long time kya ho raha hai,1.97E-06,Low
internet very too slow from last night since long time bhai,2.21E-06,Low
no connection kya ho raha hai,0.99999857,High
disconnecting again and again pls fix kya masla hai,1.90E-06,Low
ping too high not resolved yet since long time kya masla hai,1.93E-06,Low
ping too high not resolved yet yaar,1.92E-06,Low
buffering issue what is this yaar,1.91E-06,Low
please check internet gone since morning bhai,0.99999845,High
please check unstable connection from last night bhai,2.26E-06,Low
having net lagging continuously bhai,2.27E-06,Low
speed is low not resolved yet,1.93E-06,Low
please check facing no connection kya ho raha hai,0.99999845,High
speed is low what is this kya masla hai,1.92E-06,Low
having buffering issue continuously,1.97E-06,Low
internet gone again bhai,0.99999857,High
router problem again,1.92E-06,Low
data loss issue bhai,1.94E-06,Low
keeps dropping not resolved yet bhai,1.92E-06,Low
still intrnet not running,0.99999845,High
having internet not working continuously kya ho raha hai,0.99999845,High
connection gone again kya ho raha hai,0.99999857,High
internet gone not resolved yet since long time bhai,0.99999857,High
unstable connection pls fix,2.06E-06,Low
connection gone what is this since long time bhai,0.99999857,High
please check no connection pls fix kya masla hai,0.99999845,High
keeps dropping pls fix,1.92E-06,Low
router problem since morning,1.91E-06,Low
dns not resolving since morning since long time bhai,1.94E-06,Low
wifi not working bhai,0.99999857,High
unstable connection what is this kya ho raha hai,1.98E-06,Low
no connection since long time kya ho raha hai,0.99999857,High
please check still disconnecting again and again kya ho raha hai,2.10E-06,Low
ping too high pls fix yaar,1.91E-06,Low
having keeps dropping continuously since long time bhai,1.96E-06,Low
please check disconnecting again and again since morning,2.01E-06,Low
please check intrnet gone from last night,0.99999845,High
having ping too high continuously since long time bhai,1.96E-06,Low
router not running since long time yaar,1.92E-06,Low
still no connection,0.99999857,High
facing keeps dropping since long time,1.95E-06,Low
facing data loss issue,1.97E-06,Low
buffering issue what is this since long time bhai,1.91E-06,Low
please check lag issue what is this yaar,2.00E-06,Low
having net very slow continuously,2.02E-06,Low
internet not working,0.99999857,High
please check facing unstable connection yaar,2.44E-06,Low
data loss trouble pls fix bhai,1.92E-06,Low
facing internet not working since long time yaar,0.99999845,High
facing buffering issue,1.98E-06,Low
still buffering issue yaar,1.98E-06,Low
internet very lagging not resolved yet yaar,3.17E-06,Low
ping too high not resolved yet since long time,1.92E-06,Low
disconnecting again and again not resolved yet yaar,1.90E-06,Low
delay in response from last night since long time,1.92E-06,Low
net slow again yaar,2.05E-06,Low
router not running pls fix bhai,1.93E-06,Low
net slow what is this since long time yaar,2.03E-06,Low
facing disconnecting again and again kya ho raha hai,1.95E-06,Low
facing no connection,0.99999857,High
speed is low not resolved yet yaar,1.92E-06,Low
please check wifi down pls fix kya ho raha hai,0.99999845,High
buffering issue yaar,1.93E-06,Low
internet not running from last night kya ho raha hai,0.99999857,High
internet gone since morning yaar,0.99999857,High
unstable connection not resolved yet bhai,2.01E-06,Low
wifi very slow again kya ho raha hai,3.05E-06,Low
disconnecting again and again again bhai,1.90E-06,Low
speed is low from last night kya masla hai,1.92E-06,Low
still buffering problem,1.99E-06,Low
please check having delay in response continuously bhai,2.07E-06,Low
please check having disconnecting again and again continuously,2.08E-06,Low
please check net lagging again yaar,2.75E-06,Low
having lag trouble continuously kya ho raha hai,1.96E-06,Low
router not functioning from last night bhai,1.94E-06,Low
still router not working,2.08E-06,Low
please check wifi down,0.99999845,High
please check having keeps dropping continuously bhai,2.08E-06,Low
internet not running again yaar,0.99999857,High
please check net slow since morning kya ho raha hai,2.27E-06,Low
no connection what is this since long time yaar,0.99999857,High
please check internet not working again bhai,0.99999845,High
please check buffering issue since morning yaar,2.01E-06,Low
facing wifi down,0.99999857,High
buffering trouble from last night kya ho raha hai,1.91E-06,Low
delay in response pls fix yaar,1.92E-06,Low
wifi gone since morning kya ho raha hai,0.99999857,High
cannot access sites from last night,1.91E-06,Low
keeps dropping pls fix yaar,1.91E-06,Low
having net gone continuously bhai,0.99999845,High
still buffering trouble since long time yaar,1.97E-06,Low
connection gone pls fix bhai,0.99999857,High
router problem again since long time bhai,1.90E-06,Low
facing buffering problem since long time,1.96E-06,Low
please check internet very slow from last night yaar,2.69E-06,Low
wifi down what is this,0.99999857,High
internet not working since long time,0.99999857,High
please check having ping too high continuously,2.06E-06,Low
still net gone since long time bhai,0.99999845,High
net lagging again since long time yaar,2.26E-06,Low
please check facing unstable connection yaar,2.44E-06,Low
speed is low pls fix since long time bhai,1.92E-06,Low
wifi down not resolved yet since long time bhai,0.99999857,High
please check unstable connection what is this kya ho raha hai,2.23E-06,Low
facing disconnecting again and again bhai,1.95E-06,Low
unstable connection what is this kya ho raha hai,1.98E-06,Low
please check keeps dropping not resolved yet kya masla hai,2.02E-06,Low
please check facing disconnecting again and again bhai,2.09E-06,Low
wifi down from last night yaar,0.99999857,High
internet not running not resolved yet,0.99999857,High
please check wifi down,0.99999845,High
facing intrnet gone kya masla hai,0.99999845,High
still lag issue,1.99E-06,Low
router problem what is this,1.91E-06,Low
facing lag problem since long time kya ho raha hai,1.95E-06,Low
facing router problem bhai,1.96E-06,Low
router not working pls fix since long time,1.98E-06,Low
wifi down kya ho raha hai,0.99999857,High
please check still no connection yaar,0.99999845,High
buffering trouble since morning,1.92E-06,Low
please check wifi down since morning kya ho raha hai,0.99999845,High
please check data loss trouble again,2.00E-06,Low
please check disconnecting again and again not resolved yet,2.01E-06,Low
packet loss happening pls fix kya masla hai,1.91E-06,Low
no connection pls fix bhai,0.99999857,High
router problem not resolved yet kya ho raha hai,1.91E-06,Low
facing no connection since long time kya ho raha hai,0.99999857,High
internet gone what is this kya ho raha hai,0.99999857,High
router not working what is this yaar,1.96E-06,Low
speed is low not resolved yet since long time bhai,1.93E-06,Low
keeps dropping not resolved yet,1.92E-06,Low
disconnecting again and again from last night since long time,1.90E-06,Low
buffering trouble from last night kya ho raha hai,1.91E-06,Low
facing router not working bhai,2.05E-06,Low
net slow not resolved yet kya ho raha hai,2.07E-06,Low
please check packet loss happening what is this bhai,2.00E-06,Low
facing net lagging,2.38E-06,Low
internet very very slow from last night kya ho raha hai,2.20E-06,Low
please check data loss problem not resolved yet bhai,2.00E-06,Low
net slow pls fix bhai,2.08E-06,Low
having delay in response continuously since long time kya ho raha hai,1.96E-06,Low
net slow bhai,2.06E-06,Low
data loss issue pls fix since long time,1.92E-06,Low
unstable connection from last night kya ho raha hai,2.01E-06,Low
still connection gone kya ho raha hai,0.99999845,High
please check having wifi down continuously kya masla hai,0.99999845,High
having unstable connection continuously kya masla hai,2.06E-06,Low
wifi not working pls fix yaar,0.99999857,High
still ping too high,1.97E-06,Low
internet very slow again since long time,2.28E-06,Low
please check wifi down kya ho raha hai,0.99999845,High
internet not working what is this,0.99999857,High
buffering problem from last night,1.91E-06,Low
net slow again since long time,2.02E-06,Low
net too slow since morning bhai,2.01E-06,Low
lag problem not resolved yet,1.91E-06,Low
please check lag issue since morning kya ho raha hai,2.01E-06,Low
please check facing net too slow bhai,2.25E-06,Low
having speed is low continuously,1.97E-06,Low
net lagging from last night since long time,2.38E-06,Low
please check having internet gone continuously,0.99999845,High
please check speed is low pls fix bhai,2.02E-06,Low
wifi very slow pls fix yaar,3.76E-06,Low
wifi down kya masla hai,0.99999857,High
speed is low again kya ho raha hai,1.92E-06,Low
still router problem since long time bhai,1.96E-06,Low
internet very slow from last night yaar,2.35E-06,Low
net lagging from last night kya masla hai,2.45E-06,Low
please check wifi down from last night,0.99999845,High
internet very too slow from last night bhai,2.22E-06,Low
still dns not resolving kya masla hai,2.02E-06,Low
having unstable connection continuously bhai,2.05E-06,Low
packet loss happening pls fix kya masla hai,1.91E-06,Low
cannot access sites from last night bhai,1.91E-06,Low
having net gone continuously yaar,0.99999845,High
packet loss happening not resolved yet yaar,1.92E-06,Low
facing internet gone,0.99999845,High
facing lag issue yaar,1.97E-06,Low
wifi gone what is this kya ho raha hai,0.99999857,High
please check having ping too high continuously bhai,2.06E-06,Low
keeps dropping since long time bhai,1.91E-06,Low
please check router problem not resolved yet bhai,2.00E-06,Low
please check ping too high not resolved yet kya masla hai,2.01E-06,Low
buffering trouble not resolved yet since long time,1.91E-06,Low
having delay in response continuously kya ho raha hai,1.96E-06,Low
please check disconnecting again and again,2.01E-06,Low
data loss issue from last night since long time yaar,1.93E-06,Low
please check router not working from last night,2.22E-06,Low
buffering trouble again since long time,1.90E-06,Low
please check speed is low not resolved yet yaar,2.03E-06,Low
please check data loss problem from last night,2.00E-06,Low
please check having data loss problem continuously yaar,2.05E-06,Low
facing no connection since long time bhai,0.99999857,High
facing net slow,2.10E-06,Low
still wifi down since long time bhai,0.99999857,High
wifi down from last night yaar,0.99999857,High
no connection since morning since long time bhai,0.99999857,High
connection gone from last night,0.99999857,High
internet gone bhai,0.99999857,High
packet loss happening again,1.92E-06,Low
still wifi not working,0.99999857,High
keeps dropping not resolved yet yaar,1.91E-06,Low
unstable connection since morning since long time yaar,1.98E-06,Low
having internet not functioning continuously yaar,0.99999845,High
connection very slow since morning bhai,2.12E-06,Low
dns not resolving from last night yaar,1.94E-06,Low
packet loss happening since morning since long time bhai,1.91E-06,Low
ping too high pls fix bhai,1.92E-06,Low
please check still disconnecting again and again,2.09E-06,Low
facing wifi down since long time bhai,0.99999857,High
cannot access sites again kya masla hai,1.91E-06,Low
buffering issue what is this since long time,1.91E-06,Low
wifi down since morning since long time kya ho raha hai,0.99999857,High
buffering issue what is this kya ho raha hai,1.91E-06,Low
disconnecting again and again since morning kya ho raha hai,1.90E-06,Low
unstable connection again kya ho raha hai,2.00E-06,Low
disconnecting again and again what is this,1.90E-06,Low
having keeps dropping continuously,1.97E-06,Low
cannot access sites not resolved yet since long time,1.91E-06,Low
please check net very slow bhai,2.10E-06,Low
internet gone again bhai,0.99999857,High
ping too high since long time yaar,1.91E-06,Low
keeps dropping since morning since long time bhai,1.91E-06,Low
data loss issue what is this,1.93E-06,Low
net slow since long time pls fix,2.04E-06,Low
please check still speed is low,2.11E-06,Low
connection gone since morning bhai,0.99999857,High
disconnecting again and again since morning yaar,1.90E-06,Low
having unstable connection continuously yaar,2.06E-06,Low
dns not resolving from last night since long time,1.94E-06,Low
still cannot access sites since long time bhai,1.96E-06,Low
still keeps dropping kya masla hai,1.97E-06,Low
please check facing net very slow bhai,2.22E-06,Low
buffering trouble again bhai,1.91E-06,Low
ping too high again since long time,1.91E-06,Low
having no connection continuously,0.99999845,High
internet very slow what is this bhai,2.30E-06,Low
wifi not working what is this kya ho raha hai,0.99999857,High
no connection again,0.99999857,High
buffering problem from last night since long time,1.91E-06,Low
please check speed is low pls fix,2.02E-06,Low
dns not resolving again kya masla hai,1.94E-06,Low
wifi gone since morning bhai,0.99999857,High
packet loss happening from last night since long time bhai,1.92E-06,Low
please check wifi down from last night bhai,0.99999845,High
facing buffering trouble since long time,1.96E-06,Low
please check disconnecting again and again since morning,2.01E-06,Low
please check facing no connection bhai,0.99999845,High
having net gone continuously since long time kya ho raha hai,0.99999845,High
intrnet very slow not resolved yet bhai,2.06E-06,Low
buffering issue what is this,1.91E-06,Low
having dns not resolving continuously,2.00E-06,Low
having disconnecting again and again continuously since long time bhai,1.95E-06,Low
speed is low since long time kya ho raha hai,1.92E-06,Low
wifi down again bhai,0.99999857,High
please check still wifi down kya masla hai,0.99999845,High
still packet loss happening bhai,1.97E-06,Low
no connection,0.99999857,High
intrnet not working what is this bhai,0.99999857,High
please check dns not resolving pls fix,2.11E-06,Low
net very slow pls fix yaar,2.01E-06,Low
facing delay in response bhai,1.96E-06,Low
